index,team,player_1,player_2,score_1,score_2
129,Royal Challengers Bangalore,RM Patidar,D Padikkal,0,0
130,Royal Challengers Bangalore,GJ Maxwell,RM Patidar,25,5
131,Royal Challengers Bangalore,AB de Villiers,RM Patidar,28,26
132,Royal Challengers Bangalore,AB de Villiers,Washington Sundar,19,6
133,Royal Challengers Bangalore,AB de Villiers,DR Sams,28,3
,,,,,
134,Royal Challengers Bangalore,V Kohli,D Padikkal,12,7
135,Royal Challengers Bangalore,V Kohli,RM Patidar,23,15
136,Royal Challengers Bangalore,GJ Maxwell,RM Patidar,0,0
137,Royal Challengers Bangalore,AB de Villiers,RM Patidar,3,2
138,Royal Challengers Bangalore,RM Patidar,Shabhaz Ahmed,14,6
139,Royal Challengers Bangalore,DR Sams,Shabhaz Ahmed,3,2
140,Royal Challengers Bangalore,KA Jamieson,DR Sams,0,0
141,Royal Challengers Bangalore,HV Patel,KA Jamieson,31,15
142,Royal Challengers Bangalore,KA Jamieson,Mohammed Siraj,1,0
,,,,,
143,Royal Challengers Bangalore,V Kohli,D Padikkal,5,4
144,Royal Challengers Bangalore,KS Bharat,D Padikkal,11,18
145,Royal Challengers Bangalore,GJ Maxwell,KS Bharat,5,5
146,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,0,1
147,Royal Challengers Bangalore,GJ Maxwell,Sachin Baby,4,6
148,Royal Challengers Bangalore,Sachin Baby,PWH de Silva,0,0
149,Royal Challengers Bangalore,Sachin Baby,KA Jamieson,1,2
150,Royal Challengers Bangalore,HV Patel,KA Jamieson,7,2
151,Royal Challengers Bangalore,HV Patel,Mohammed Siraj,5,2
152,Royal Challengers Bangalore,YS Chahal,Mohammed Siraj,2,6
,,,,,
153,Royal Challengers Bangalore,V Kohli,D Padikkal,53,55
154,Royal Challengers Bangalore,AB de Villiers,D Padikkal,12,15
155,Royal Challengers Bangalore,GJ Maxwell,D Padikkal,0,0
156,Royal Challengers Bangalore,GJ Maxwell,TH David,9,1
157,Royal Challengers Bangalore,GJ Maxwell,HV Patel,2,2
158,Royal Challengers Bangalore,HV Patel,PWH de Silva,1,1
,,,,,
159,Royal Challengers Bangalore,V Kohli,D Padikkal,6,0
160,Royal Challengers Bangalore,V Kohli,KS Bharat,32,32
161,Royal Challengers Bangalore,V Kohli,GJ Maxwell,13,34
162,Royal Challengers Bangalore,AB de Villiers,GJ Maxwell,11,22
163,Royal Challengers Bangalore,DT Christian,AB de Villiers,0,0
164,Royal Challengers Bangalore,DT Christian,Shabhaz Ahmed,0,1
165,Royal Challengers Bangalore,DT Christian,KA Jamieson,1,2
,,,,,
166,Royal Challengers Bangalore,V Kohli,D Padikkal,20,22
167,Royal Challengers Bangalore,V Kohli,KS Bharat,5,5
